category	task_name	weight	policy	mode	seed	count	task_progress
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_25m	pvp	87951085	52	0.106731
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_25m	pvp	97056894	51	0.128431
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	1	52	0.109615
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	17590196	42	0.103571
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	2	50	0.141000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	48692979	61	0.157377
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	59315038	56	0.131250
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	70970695	47	0.132979
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	74435116	63	0.117460
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	78309306	51	0.169608
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	87951085	53	0.140566
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_50m	pvp	97056894	60	0.140833
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	1	49	0.137755
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	17590196	53	0.153774
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	2	47	0.115957
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	48692979	49	0.132653
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	59315038	54	0.137963
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	70970695	58	0.168966
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	74435116	50	0.157000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	78309306	46	0.120652
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	87951085	65	0.137692
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	mtonly_75m	pvp	97056894	57	0.156140
