mode	category	task_name	policy	task_progress
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	general_200m	0.460695
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	general_300m	0.438138
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	general_400m	0.478166
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.449237
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.310263
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.382220
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.422470
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	general_100m	0.078095
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	general_200m	0.126397
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	general_300m	0.106678
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	general_400m	0.134321
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.124917
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.030491
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.061219
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.076071
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	general_100m	0.072868
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	general_200m	0.056128
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	general_300m	0.080349
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	general_400m	0.083320
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.070376
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.062838
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.036190
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.057690
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	general_100m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	general_200m	0.001887
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	general_300m	0.001786
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	general_400m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	general_100m	0.229847
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	general_200m	0.265974
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	general_300m	0.279243
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	general_400m	0.265123
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.301699
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.196127
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.279614
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.233787
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	general_100m	0.003334
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	general_200m	0.018433
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	general_300m	0.007320
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	general_400m	0.013906
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.018306
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.004183
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.015712
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	general_100m	0.257625
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	general_200m	0.266786
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	general_300m	0.319575
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	general_400m	0.270885
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.312540
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.207200
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.267391
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.266852
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	general_100m	0.021933
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	general_200m	0.012584
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	general_300m	0.030691
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	general_400m	0.014691
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.011811
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.004286
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.011764
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.007443
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	general_100m	0.386877
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	general_200m	0.501903
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	general_300m	0.471619
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	general_400m	0.499553
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.427786
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.316958
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.361489
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.409961
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	general_100m	0.071840
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	general_200m	0.125778
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	general_300m	0.120024
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	general_400m	0.137975
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.065185
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.022484
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.041296
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.089367
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	general_100m	0.266340
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	general_200m	0.266750
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	general_300m	0.269384
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	general_400m	0.276538
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.295531
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.179528
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.230033
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.229868
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:3_num_agent:1)_reward_to:agent	general_100m	0.010043
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:3_num_agent:1)_reward_to:agent	general_200m	0.012287
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:3_num_agent:1)_reward_to:agent	general_300m	0.008632
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:3_num_agent:1)_reward_to:agent	general_400m	0.015208
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.014277
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.001887
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.012703
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.011786
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:1_num_agent:1)_reward_to:agent	general_100m	0.252756
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:1_num_agent:1)_reward_to:agent	general_200m	0.267308
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:1_num_agent:1)_reward_to:agent	general_300m	0.277761
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:1_num_agent:1)_reward_to:agent	general_400m	0.308476
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.335756
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.205214
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.261939
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.256261
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:3_num_agent:1)_reward_to:agent	general_100m	0.020976
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:3_num_agent:1)_reward_to:agent	general_200m	0.013295
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:3_num_agent:1)_reward_to:agent	general_300m	0.016291
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:3_num_agent:1)_reward_to:agent	general_400m	0.018569
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.023778
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.003509
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.012419
pvp	item	curriculum/Task_EquipItem_(item:Rod_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.019058
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:1_num_agent:1)_reward_to:agent	general_100m	0.376728
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:1_num_agent:1)_reward_to:agent	general_200m	0.474920
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:1_num_agent:1)_reward_to:agent	general_300m	0.513770
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:1_num_agent:1)_reward_to:agent	general_400m	0.590156
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.555168
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.372331
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.428831
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.550413
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:3_num_agent:1)_reward_to:agent	general_100m	0.004222
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:3_num_agent:1)_reward_to:agent	general_200m	0.011609
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:3_num_agent:1)_reward_to:agent	general_300m	0.007892
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:3_num_agent:1)_reward_to:agent	general_400m	0.008237
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.009903
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.005564
pvp	item	curriculum/Task_EquipItem_(item:Runes_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.003852
pvp	item	curriculum/Task_EquipItem_(item:Spear_level:1_num_agent:1)_reward_to:agent	general_100m	0.053196
pvp	item	curriculum/Task_EquipItem_(item:Spear_level:1_num_agent:1)_reward_to:agent	general_200m	0.081162
pvp	item	curriculum/Task_EquipItem_(item:Spear_level:1_num_agent:1)_reward_to:agent	general_300m	0.098742
